,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,BAKER,Fast Food Restaurant,Fried Chicken Joint,Sandwich Place,Pizza Place,Breakfast Spot,Seafood Restaurant,Restaurant,Chinese Restaurant,Bagel Shop,Caribbean Restaurant
1,BOCAGE / CITIPLACE / CONCORD ESTATES,Fast Food Restaurant,Cajun / Creole Restaurant,Mexican Restaurant,Breakfast Spot,Italian Restaurant,Pizza Place,Thai Restaurant,Steakhouse,Burger Joint,Sandwich Place
2,BROADMOOR,Fast Food Restaurant,Sandwich Place,Bakery,Cajun / Creole Restaurant,Chinese Restaurant,Mexican Restaurant,Wings Joint,Pizza Place,Burger Joint,Dim Sum Restaurant
3,BROOKSTOWN,Fried Chicken Joint,Fast Food Restaurant,Seafood Restaurant,Burger Joint,Food,Donut Shop,Southern / Soul Food Restaurant,Sandwich Place,Breakfast Spot,Dim Sum Restaurant
4,BROWNSFIELD,Fast Food Restaurant,Fried Chicken Joint,Sandwich Place,Pizza Place,Chinese Restaurant,Breakfast Spot,Seafood Restaurant,BBQ Joint,Restaurant,Bagel Shop
5,CENTRAL,Fast Food Restaurant,Fried Chicken Joint,Pizza Place,Mexican Restaurant,Sandwich Place,American Restaurant,Restaurant,Japanese Restaurant,Seafood Restaurant,Breakfast Spot
6,CITY PARK,Italian Restaurant,Sandwich Place,American Restaurant,Bistro,Gastropub,Café,Burger Joint,Pizza Place,Thai Restaurant,Sushi Restaurant
7,COLLEGE TOWN,Pizza Place,Fast Food Restaurant,Restaurant,Sandwich Place,Asian Restaurant,Bagel Shop,Sushi Restaurant,Bakery,Food,Burger Joint
8,CORTANA / VILLA DEL REY,Fast Food Restaurant,Sandwich Place,Mexican Restaurant,Restaurant,Wings Joint,Food,Donut Shop,Italian Restaurant,Chinese Restaurant,Cajun / Creole Restaurant
9,DELMONT PLACE,Fried Chicken Joint,Fast Food Restaurant,American Restaurant,Seafood Restaurant,Donut Shop,Mediterranean Restaurant,Burger Joint,Caribbean Restaurant,Food Stand,Food Court
10,DOWNTOWN,American Restaurant,Sandwich Place,Cajun / Creole Restaurant,Salad Place,Restaurant,Food Truck,Fried Chicken Joint,Italian Restaurant,Café,Mexican Restaurant
11,DOWNTOWN EAST,American Restaurant,Food,Fast Food Restaurant,Sandwich Place,Middle Eastern Restaurant,New American Restaurant,Cajun / Creole Restaurant,Bakery,Brazilian Restaurant,Chinese Restaurant
12,EAST FAIRFIELDS / MELROSE PLACE,Food,American Restaurant,Fast Food Restaurant,Seafood Restaurant,Bakery,Burger Joint,Caribbean Restaurant,Food Truck,Food Stand,Food Court
13,EDEN PARK,Food,Seafood Restaurant,Burger Joint,Wings Joint,Caribbean Restaurant,Food Truck,Food Stand,Food Court,Fast Food Restaurant,Donut Shop
14,FAIRFIELDS,Food,American Restaurant,Bakery,Snack Place,Caribbean Restaurant,Food Truck,Food Stand,Food Court,Fast Food Restaurant,Donut Shop
15,FAIRWOOD,Food,Fried Chicken Joint,Pizza Place,Greek Restaurant,Sandwich Place,Buffet,Deli / Bodega,Fast Food Restaurant,Italian Restaurant,Noodle House
16,FOREST HEIGHTS / SUNNYBROOK,Fast Food Restaurant,Pizza Place,Food,Fried Chicken Joint,Sandwich Place,Donut Shop,Café,Chinese Restaurant,Steakhouse,Seafood Restaurant
17,GLEN OAKS / ZION CITY,Fried Chicken Joint,Fast Food Restaurant,Sandwich Place,Seafood Restaurant,BBQ Joint,Food,Southern / Soul Food Restaurant,Burger Joint,Breakfast Spot,Diner
18,GOODWOOD,Sandwich Place,Greek Restaurant,Chinese Restaurant,Fried Chicken Joint,Fast Food Restaurant,Restaurant,Pizza Place,Seafood Restaurant,BBQ Joint,Italian Restaurant
19,GOODWOOD HOMESITES,Fast Food Restaurant,Sandwich Place,Restaurant,Chinese Restaurant,American Restaurant,Seafood Restaurant,Food,Deli / Bodega,Mexican Restaurant,Cafeteria
20,ISTROUMA / DIXIE,Pizza Place,Fast Food Restaurant,Cajun / Creole Restaurant,Food,Mediterranean Restaurant,Fried Chicken Joint,Food Stand,Food Court,Donut Shop,Diner
21,JEFFERSON / DRUSILLA,Sandwich Place,Cajun / Creole Restaurant,Italian Restaurant,American Restaurant,Restaurant,Chinese Restaurant,Sushi Restaurant,BBQ Joint,Japanese Restaurant,Mexican Restaurant
22,JEFFERSON / TIGER BEND,Fast Food Restaurant,Pizza Place,Seafood Restaurant,Cajun / Creole Restaurant,Sandwich Place,Fried Chicken Joint,BBQ Joint,Mexican Restaurant,Burger Joint,Sushi Restaurant
23,JEFFERSON TERRACE / INNISWOLD,Fast Food Restaurant,Sandwich Place,American Restaurant,Burger Joint,Seafood Restaurant,BBQ Joint,Steakhouse,Cajun / Creole Restaurant,Breakfast Spot,Burrito Place
24,JONES CREEK,Fast Food Restaurant,Fried Chicken Joint,Mexican Restaurant,American Restaurant,BBQ Joint,Burger Joint,Sandwich Place,Pizza Place,Seafood Restaurant,Food
