1,BAKER,Fast Food Restaurant,Fried Chicken Joint,Sandwich Place,Pizza Place,Breakfast Spot,Seafood Restaurant,Restaurant,Chinese Restaurant,Bagel Shop,Caribbean Restaurant
2,BOCAGE / CITIPLACE / CONCORD ESTATES,Fast Food Restaurant,Cajun / Creole Restaurant,Mexican Restaurant,Breakfast Spot,Italian Restaurant,Pizza Place,Thai Restaurant,Steakhouse,Burger Joint,Sandwich Place
3,BROADMOOR,Fast Food Restaurant,Sandwich Place,Bakery,Cajun / Creole Restaurant,Chinese Restaurant,Mexican Restaurant,Wings Joint,Pizza Place,Burger Joint,Dim Sum Restaurant
4,BROOKSTOWN,Fried Chicken Joint,Fast Food Restaurant,Seafood Restaurant,Burger Joint,Food,Donut Shop,Southern / Soul Food Restaurant,Sandwich Place,Breakfast Spot,Dim Sum Restaurant
5,BROWNSFIELD,Fast Food Restaurant,Fried Chicken Joint,Sandwich Place,Pizza Place,Chinese Restaurant,Breakfast Spot,Seafood Restaurant,BBQ Joint,Restaurant,Bagel Shop
6,CENTRAL,Fast Food Restaurant,Fried Chicken Joint,Pizza Place,Mexican Restaurant,Sandwich Place,American Restaurant,Restaurant,Japanese Restaurant,Seafood Restaurant,Breakfast Spot
7,CITY PARK,Italian Restaurant,Sandwich Place,American Restaurant,Bistro,Gastropub,Café,Burger Joint,Pizza Place,Thai Restaurant,Sushi Restaurant
8,COLLEGE TOWN,Pizza Place,Fast Food Restaurant,Restaurant,Sandwich Place,Asian Restaurant,Bagel Shop,Sushi Restaurant,Bakery,Food,Burger Joint
9,CORTANA / VILLA DEL REY,Fast Food Restaurant,Sandwich Place,Mexican Restaurant,Restaurant,Wings Joint,Food,Donut Shop,Italian Restaurant,Chinese Restaurant,Cajun / Creole Restaurant
10,DELMONT PLACE,Fried Chicken Joint,Fast Food Restaurant,American Restaurant,Seafood Restaurant,Donut Shop,Mediterranean Restaurant,Burger Joint,Caribbean Restaurant,Food Stand,Food Court
11,DOWNTOWN,American Restaurant,Sandwich Place,Cajun / Creole Restaurant,Salad Place,Restaurant,Food Truck,Fried Chicken Joint,Italian Restaurant,Café,Mexican Restaurant
12,DOWNTOWN EAST,American Restaurant,Food,Fast Food Restaurant,Sandwich Place,Middle Eastern Restaurant,New American Restaurant,Cajun / Creole Restaurant,Bakery,Brazilian Restaurant,Chinese Restaurant
13,EAST FAIRFIELDS / MELROSE PLACE,Food,American Restaurant,Fast Food Restaurant,Seafood Restaurant,Bakery,Burger Joint,Caribbean Restaurant,Food Truck,Food Stand,Food Court
14,EDEN PARK,Food,Seafood Restaurant,Burger Joint,Wings Joint,Caribbean Restaurant,Food Truck,Food Stand,Food Court,Fast Food Restaurant,Donut Shop
15,FAIRFIELDS,Food,American Restaurant,Bakery,Snack Place,Caribbean Restaurant,Food Truck,Food Stand,Food Court,Fast Food Restaurant,Donut Shop
16,FAIRWOOD,Food,Fried Chicken Joint,Pizza Place,Greek Restaurant,Sandwich Place,Buffet,Deli / Bodega,Fast Food Restaurant,Italian Restaurant,Noodle House
17,FOREST HEIGHTS / SUNNYBROOK,Fast Food Restaurant,Pizza Place,Food,Fried Chicken Joint,Sandwich Place,Donut Shop,Café,Chinese Restaurant,Steakhouse,Seafood Restaurant
18,GLEN OAKS / ZION CITY,Fried Chicken Joint,Fast Food Restaurant,Sandwich Place,Seafood Restaurant,BBQ Joint,Food,Southern / Soul Food Restaurant,Burger Joint,Breakfast Spot,Diner
19,GOODWOOD,Sandwich Place,Greek Restaurant,Chinese Restaurant,Fried Chicken Joint,Fast Food Restaurant,Restaurant,Pizza Place,Seafood Restaurant,BBQ Joint,Italian Restaurant
20,GOODWOOD HOMESITES,Fast Food Restaurant,Sandwich Place,Restaurant,Chinese Restaurant,American Restaurant,Seafood Restaurant,Food,Deli / Bodega,Mexican Restaurant,Cafeteria
21,ISTROUMA / DIXIE,Pizza Place,Fast Food Restaurant,Cajun / Creole Restaurant,Food,Mediterranean Restaurant,Fried Chicken Joint,Food Stand,Food Court,Donut Shop,Diner
22,JEFFERSON / DRUSILLA,Sandwich Place,Cajun / Creole Restaurant,Italian Restaurant,American Restaurant,Restaurant,Chinese Restaurant,Sushi Restaurant,BBQ Joint,Japanese Restaurant,Mexican Restaurant
23,JEFFERSON / TIGER BEND,Fast Food Restaurant,Pizza Place,Seafood Restaurant,Cajun / Creole Restaurant,Sandwich Place,Fried Chicken Joint,BBQ Joint,Mexican Restaurant,Burger Joint,Sushi Restaurant
24,JEFFERSON TERRACE / INNISWOLD,Fast Food Restaurant,Sandwich Place,American Restaurant,Burger Joint,Seafood Restaurant,BBQ Joint,Steakhouse,Cajun / Creole Restaurant,Breakfast Spot,Burrito Place
25,JONES CREEK,Fast Food Restaurant,Fried Chicken Joint,Mexican Restaurant,American Restaurant,BBQ Joint,Burger Joint,Sandwich Place,Pizza Place,Seafood Restaurant,Food
26,KENILWORTH,Pizza Place,Bakery,Italian Restaurant,Sandwich Place,Restaurant,Cajun / Creole Restaurant,Food Court,Food,Fast Food Restaurant,Donut Shop
27,KLEINPETER,Fast Food Restaurant,Burger Joint,American Restaurant,BBQ Joint,Breakfast Spot,Fried Chicken Joint,Restaurant,Mexican Restaurant,Pizza Place,Sandwich Place
28,L S U,Burger Joint,Sandwich Place,Fast Food Restaurant,Pizza Place,Mexican Restaurant,Chinese Restaurant,Cajun / Creole Restaurant,Wings Joint,Sushi Restaurant,Asian Restaurant
29,LEGION VILLAGE,Fried Chicken Joint,Fast Food Restaurant,Seafood Restaurant,Food,Donut Shop,Burger Joint,American Restaurant,Brazilian Restaurant,Breakfast Spot,Food Truck
30,MAYFAIR,Fast Food Restaurant,Pizza Place,Sushi Restaurant,Seafood Restaurant,Sandwich Place,Fried Chicken Joint,Café,Burger Joint,Chinese Restaurant,Restaurant
31,MID CITY,Pizza Place,Fried Chicken Joint,Sandwich Place,BBQ Joint,Café,Chinese Restaurant,Fast Food Restaurant,Seafood Restaurant,Mexican Restaurant,Greek Restaurant
32,MILLERVILLE,Fast Food Restaurant,Chinese Restaurant,Mexican Restaurant,Greek Restaurant,Sandwich Place,Hot Dog Joint,Donut Shop,Cajun / Creole Restaurant,Burger Joint,Pizza Place
33,MONTICELLO,Fast Food Restaurant,American Restaurant,Chinese Restaurant,Food,Donut Shop,Cajun / Creole Restaurant,Bistro,Brazilian Restaurant,Food Truck,Food Stand
34,NORTH BATON ROUGE,Fast Food Restaurant,Seafood Restaurant,Sandwich Place,Fried Chicken Joint,Food,Donut Shop,Mediterranean Restaurant,Café,Burger Joint,Pizza Place
35,NORTH SHERWOOD FOREST,Vietnamese Restaurant,Fried Chicken Joint,Food,Fast Food Restaurant,Seafood Restaurant,Italian Restaurant,Mexican Restaurant,Chinese Restaurant,Burger Joint,American Restaurant
36,O'NEAL,Pizza Place,Fast Food Restaurant,Cajun / Creole Restaurant,Fried Chicken Joint,Seafood Restaurant,Sandwich Place,Burger Joint,Italian Restaurant,Chinese Restaurant,Mexican Restaurant
37,OLD SOUTH BATON ROUGE,American Restaurant,Sushi Restaurant,Fast Food Restaurant,Seafood Restaurant,Pizza Place,BBQ Joint,Chinese Restaurant,Diner,Donut Shop,Food
38,PARK FOREST / OAKCREST,Fast Food Restaurant,Pizza Place,Fried Chicken Joint,Chinese Restaurant,Sandwich Place,Seafood Restaurant,Café,Food,Diner,Cajun / Creole Restaurant
39,PERKINS / HIGHLAND,Fast Food Restaurant,Sandwich Place,American Restaurant,Café,Chinese Restaurant,Mexican Restaurant,Seafood Restaurant,Breakfast Spot,Bistro,Bakery
40,POLLARD / WOODCHASE,Fast Food Restaurant,American Restaurant,Pizza Place,Thai Restaurant,Sushi Restaurant,Chinese Restaurant,Seafood Restaurant,Sandwich Place,Food Truck,BBQ Joint
