1,BAKER,Jack in the Box,Fast Food Restaurant,McDonald's,Fast Food Restaurant,Burger King,Fast Food Restaurant,McDonald's,Fast Food Restaurant,Lagniappe (Plank Rd.),Seafood Restaurant
2,BOCAGE / CITIPLACE / CONCORD ESTATES,Chick-fil-A,Fast Food Restaurant,IHOP,Breakfast Spot,Waffle House,Breakfast Spot,Drago's Seafood Resturant,Seafood Restaurant,Jimmy John's,Sandwich Place
3,BROADMOOR,Raising Cane's Chicken Fingers,Fried Chicken Joint,Taco Bell,Fast Food Restaurant,Applebee's Grill + Bar,American Restaurant,Goodwood Grill,Burger Joint,Gambino's Bakery,Bakery
4,BROOKSTOWN,Tony's Seafood Market & Deli,Seafood Restaurant,Krispy Kreme Doughnuts,Donut Shop,Burger King,Fast Food Restaurant,Lillie's Kitchen,Breakfast Spot,McDonald's,Fast Food Restaurant
5,BROWNSFIELD,Jack in the Box,Fast Food Restaurant,McDonald's,Fast Food Restaurant,Burger King,Fast Food Restaurant,McDonald's,Fast Food Restaurant,Lagniappe (Plank Rd.),Seafood Restaurant
6,CENTRAL,El Paso Mexican Grill,Mexican Restaurant,Sonic Drive-In,Fast Food Restaurant,Auntie Anne's,Food Stand,Rotolo's,Pizza Place,McDonald's,Fast Food Restaurant
7,CITY PARK,The Overpass Merchant,Gastropub,DiGiulio Brothers Italian Cafe,Italian Restaurant,Bumsteers,American Restaurant,Zeeland Street Market,Café,Schlittz & Giggles,Pizza Place
8,COLLEGE TOWN,Fuzzy's Taco Shop,Mexican Restaurant,Sonic Drive-In,Fast Food Restaurant,Our Mom's Restaurant & Bar,Restaurant,Taco Bell,Fast Food Restaurant,Mr. Ronnie's Famous Hot Donuts,Bakery
9,CORTANA / VILLA DEL REY,Raising Cane's Chicken Fingers,Fried Chicken Joint,Sonic Drive-In,Fast Food Restaurant,Po-Boy Express,Sandwich Place,Wendy’s,Fast Food Restaurant,Gold Bowl,Chinese Restaurant
10,DELMONT PLACE,Tony's Seafood Market & Deli,Seafood Restaurant,Chicken Shack,Fried Chicken Joint,Krispy Kreme Doughnuts,Donut Shop,Piccadilly Cafeteria,American Restaurant,McDonald's,Fast Food Restaurant
11,DOWNTOWN,Poor Boy Lloyd's,Cajun / Creole Restaurant,Schlittz & Giggles,Pizza Place,Little Village,Italian Restaurant,Cocha,New American Restaurant,Capital City Grill,American Restaurant
12,DOWNTOWN EAST,McDonald's,Fast Food Restaurant,Sonic Drive-In,Fast Food Restaurant,Red Stick Social,American Restaurant,Cocha,New American Restaurant,Cafe Express,American Restaurant
13,EAST FAIRFIELDS / MELROSE PLACE,McDonald's,Fast Food Restaurant,Bennie's Bar and Lounge,Food,Burger King,Fast Food Restaurant,Krab Queenz,Seafood Restaurant,DJon's Restaurant,American Restaurant
14,EDEN PARK,Bennie's Bar and Lounge,Food,Krab Queenz,Seafood Restaurant,Match Box Cafe and Lounge,Food,Roul's Deli,Burger Joint,Long's Seafood Market,Seafood Restaurant
15,FAIRFIELDS,Cafe Express,American Restaurant,Match Box Cafe and Lounge,Food,Boyd's Bakery,Bakery,Igloo Snowball Stand,Snack Place,Mad Pat's,Food
16,FAIRWOOD,Sonic Drive-In,Fast Food Restaurant,Raul's Deli,Deli / Bodega,Diane Wei Shao Shop,Noodle House,French Connection,Food,Zaxby's Chicken Fingers & Buffalo Wings,Fried Chicken Joint
17,FOREST HEIGHTS / SUNNYBROOK,Mr. Po-Boy,Sandwich Place,Lillie's Kitchen,Breakfast Spot,McDonald's,Fast Food Restaurant,McDonald's,Fast Food Restaurant,Taco Bell,Fast Food Restaurant
18,GLEN OAKS / ZION CITY,Burger King,Fast Food Restaurant,Mr. Po-Boy,Sandwich Place,Lillie's Kitchen,Breakfast Spot,McDonald's,Fast Food Restaurant,Dixie Maid Drive-In,Burger Joint
19,GOODWOOD,McDonald's,Fast Food Restaurant,Superior Grill,Mexican Restaurant,Popeyes Louisiana Kitchen,Fried Chicken Joint,Sonic Drive-In,Fast Food Restaurant,Hannah Q Smokehouse,BBQ Joint
20,GOODWOOD HOMESITES,Sonic Drive-In,Fast Food Restaurant,McDonald's,Fast Food Restaurant,Jack in the Box,Fast Food Restaurant,Wendy’s,Fast Food Restaurant,Gold Bowl,Chinese Restaurant
