Neighborhood,Community,Population,Max Latitude,Max Latitude Coordinate,Min Latitude,Min Latitude Coordinate,Center Latitude,Max Longitude,Max Longitude Coordinate,Min Longitude,Min Longitude Coordinate,Center Longitude,Radius
DOWNTOWN,DOWNTOWN,2944,30.4731140433416,"(30.4731140433416, -91.16841114410751)",30.4470004307954,"(30.447000430795377, -91.19608651711054)",30.4600572370685,-91.1675480600725,"(30.458362538840777, -91.16754806007253)",-91.1965674348692,"(30.469347519528323, -91.19656743486915)",-91.1820577474709,1518.87066877693
NORTH SHERWOOD FOREST,EAST,9402,30.4744572557026,"(30.47445725570265, -91.0328403292062)",30.4565410064988,"(30.45654100649879, -91.0721207847927)",30.4654991311007,-91.0328403292062,"(30.47445725570265, -91.0328403292062)",-91.0721348446532,"(30.463571475268644, -91.0721348446532)",-91.0524875869297,1977.85355930397
CORTANA / VILLA DEL REY,EAST,3483,30.4723219397506,"(30.472321939750557, -91.06795751087166)",30.4527911297678,"(30.452791129767782, -91.09571559309617)",30.4625565347592,-91.0679575108717,"(30.472321939750557, -91.06795751087166)",-91.1088526839335,"(30.471218595426368, -91.10885268393352)",-91.0884050974026,1960.58675859448
BROADMOOR,EAST,5966,30.4565410064988,"(30.45654100649879, -91.0721207847927)",30.4316666273275,"(30.43166662732753, -91.08061432104031)",30.4441038169132,-91.0652307376483,"(30.43888122552559, -91.06523073764829)",-91.0957155930962,"(30.452791129767782, -91.09571559309617)",-91.0804731653722,1653.20886910946
MONTICELLO,EAST,5314,30.505763864947,"(30.505763864947, -91.04027264177579)",30.4726218220647,"(30.472621822064745, -91.05809718455865)",30.4891928435059,-91.0321073967292,"(30.496193981703414, -91.03210739672923)",-91.0607582592916,"(30.493833556720055, -91.06075825929162)",-91.0464328280104,2030.88336376515
PARK FOREST / OAKCREST,EAST,6857,30.493875679206,"(30.493875679205967, -91.06261975940797)",30.4712185954264,"(30.471218595426368, -91.10885268393352)",30.4825471373162,-91.0580971845586,"(30.472621822064745, -91.05809718455865)",-91.1127629457072,"(30.476675599975746, -91.11276294570719)",-91.0854300651329,2629.09068484941
FAIRWOOD,EAST,6439,30.4516484959092,"(30.45164849590924, -91.02461885265724)",30.4300617149309,"(30.430061714930865, -91.05653015711216)",30.44085510542,-91.0243956016604,"(30.44203750485425, -91.02439560166036)",-91.0573876747551,"(30.43667243333626, -91.05738767475513)",-91.0408916382077,1609.33436019077
TARA,EAST,3435,30.4527911297678,"(30.452791129767782, -91.09571559309617)",30.4307624685778,"(30.4307624685778, -91.10916912345212)",30.4417767991728,-91.0806143210403,"(30.43166662732753, -91.08061432104031)",-91.1120955365431,"(30.451659942394123, -91.11209553654312)",-91.0963549287917,1874.20981723665
GOODWOOD HOMESITES,EAST,3388,30.4712185954264,"(30.471218595426368, -91.10885268393352)",30.4516567461708,"(30.451656746170766, -91.11218174449586)",30.4614376707986,-91.0957155930962,"(30.452791129767782, -91.09571559309617)",-91.1227107479089,"(30.470960519387155, -91.1227107479089)",-91.1092131705025,1641.36813178916
MILLERVILLE,EAST,5877,30.4666808426732,"(30.46668084267322, -90.9961414225094)",30.4380689931205,"(30.438068993120517, -91.02445700585248)",30.4523749178969,-90.9808709039923,"(30.452474342431106, -90.9808709039923)",-91.0246188526572,"(30.45164849590924, -91.02461885265724)",-91.0027448783248,2097.25382718413
STEVENDALE,EAST,6525,30.4817284230189,"(30.48172842301886, -90.9749221727703)",30.4455611075668,"(30.44556110756685, -91.03428527865228)",30.4636447652929,-90.9742472101094,"(30.470541948613405, -90.97424721010941)",-91.0358249167281,"(30.46749356188717, -91.03582491672809)",-91.0050360634187,2955.64517525023
SHERWOOD FOREST,EAST,9645,30.4623980354105,"(30.462398035410512, -91.03526607364374)",30.4345578387199,"(30.434557838719915, -91.06614413922406)",30.4484779370652,-91.0337101834558,"(30.456585996857015, -91.03371018345575)",-91.0721408780796,"(30.456403668672507, -91.07214087807965)",-91.0529255307677,1841.84997405566
MID CITY,MID CITY,8647,30.4539476047606,"(30.453947604760568, -91.13918265224176)",30.4298436568614,"(30.42984365686139, -91.1408028599385)",30.441895630811,-91.1338735117923,"(30.435157866691576, -91.13387351179227)",-91.1689585230374,"(30.441100972621452, -91.16895852303738)",-91.1514160174148,1713.94593187192
GOODWOOD,MID CITY,5078,30.4516599423941,"(30.451659942394123, -91.11209553654312)",30.433012136542,"(30.433012136542004, -91.11067706210223)",30.4423360394681,-91.1106195255779,"(30.442838463206222, -91.11061952557787)",-91.142123699152,"(30.44026601536298, -91.14212369915204)",-91.126371612365,1516.85214975346
EAST FAIRFIELDS / MELROSE PLACE,MID CITY,3281,30.4709029853965,"(30.470902985396535, -91.13019988397883)",30.4507338438193,"(30.450733843819336, -91.13905339368499)",30.4608184146079,-91.1273969443067,"(30.452416751472956, -91.12739694430672)",-91.1401188761667,"(30.47057984577492, -91.1401188761667)",-91.1337579102367,1198.94001155826
SMILEY HEIGHTS / MELROSE EAST,MID CITY,4430,30.4710863491444,"(30.471086349144443, -91.12391273906078)",30.4511194426762,"(30.451119442676244, -91.1274365346823)",30.4611028959103,-91.1121817444959,"(30.451656746170766, -91.11218174449586)",-91.1301998839788,"(30.470902985396535, -91.13019988397883)",-91.1211908142373,1122.88057204266
DOWNTOWN EAST,MID CITY,3076,30.4583625388408,"(30.458362538840777, -91.16754806007253)",30.4395935446811,"(30.43959354468107, -91.17930311404265)",30.4489780417609,-91.1659068805219,"(30.448924819422334, -91.16590688052189)",-91.1808423639744,"(30.455084285707645, -91.18084236397442)",-91.1733746222482,1185.89423975322
